episode,reward,avg_reward,steps,epsilon
544,-10000.0,-2800.0,12,0.9868534628657584
545,-10000,-2800.0,1,0.9868490286095296
546,-10000.0,-2800.0,9,0.9868091213011633
547,-10000.0,-2800.0,8,0.9867736496457492
548,-10000.0,-2800.0,5,0.9867514805816224
549,-10000.0,-2800.0,2,0.986742613111154
550,-10000.0,-2800.0,3,0.9867293120717154
551,50000.0,-2200.0,16,0.9866583765642079
552,-10000.0,-2200.0,3,0.9866450767883079
553,-10000.0,-2200.0,2,0.9866362103818722
554,-10000,-2200.0,1,0.9866317772119032
555,-10000.0,-2200.0,6,0.9866051786575671
556,50000.0,-1600.0,11,0.9865564167137066
557,-10000.0,-1600.0,2,0.9865475511938673
558,-10000.0,-1600.0,1,0.9865431184671931
559,-10000.0,-1600.0,1,0.9865386857626826
560,50000.0,-1600.0,15,0.9864721978545781
561,-10000.0,-1600.0,5,0.986450036326652
562,-10000.0,-1600.0,6,0.9864234432244607
563,50000.0,-1000.0,9,0.9863835550670059
564,-10000.0,-1000.0,6,0.9863569639592225
565,-10000.0,-1000.0,1,0.9863525321854821
566,-10000.0,-1600.0,6,0.9863259420083711
567,-10000.0,-1600.0,12,0.9862727640472055
